"","SEQN","SDDSRVYR","RIDSTATR","RIDEXMON","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDAGEEX","RIDRETH1","DMQMILIT","DMDBORN2","DMDCITZN","DMDYRSUS","DMDEDUC3","DMDEDUC2","DMDSCHOL","DMDMARTL","DMDHHSIZ","DMDFMSIZ","INDHHIN2","INDFMIN2","INDFMPIR","RIDEXPRG","DMDHRGND","DMDHRAGE","DMDHRBR2","DMDHREDU","DMDHRMAR","DMDHSEDU","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANG","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA"
"1896",43370,5,2,2,2,38,461,461,2,2,4,1,7,NA,2,NA,5,4,4,4,4,0.92,2,2,38,4,2,5,NA,1,2,2,1,2,2,2,2,2,2,23783.600538,23526.33435,2,61
"1897",43371,5,2,2,1,1,21,22,4,NA,1,1,NA,NA,NA,NA,NA,7,7,1,1,0.09,NA,2,26,1,3,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,9305.869166,9400.190366,2,61
"1898",43372,5,2,1,2,28,344,345,3,2,1,1,NA,NA,4,NA,1,5,5,12,12,NA,2,2,28,1,4,1,3,1,2,2,1,2,2,NA,NA,NA,1,85821.182306,89965.587574,2,72
"1899",43373,5,2,1,1,3,42,43,1,NA,1,1,NA,NA,NA,NA,NA,6,6,99,99,NA,NA,1,42,2,1,1,1,2,1,2,2,2,2,NA,NA,NA,NA,10713.370102,10899.633151,2,67
"1900",43374,5,2,2,1,0,6,7,5,NA,1,1,NA,NA,NA,NA,NA,7,7,6,6,0.96,NA,1,40,4,2,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,5849.082733,6157.297723,1,62
"1901",43375,5,2,1,2,47,564,565,3,2,1,1,NA,NA,4,NA,1,3,3,15,15,5,NA,2,47,1,4,1,5,1,2,2,1,2,2,1,2,2,1,80250.366559,82537.635085,2,68
"1902",43376,5,2,1,1,33,400,400,1,2,1,1,NA,NA,3,NA,1,6,6,7,7,1.45,NA,2,34,2,2,1,3,1,2,2,1,2,2,1,2,2,1,21807.732796,22510.525888,1,65
"1903",43377,5,2,1,1,14,172,173,1,NA,1,1,NA,6,NA,1,NA,5,5,4,4,0.7,NA,1,36,2,1,1,1,2,1,2,2,2,2,NA,NA,NA,1,11533.533466,11885.140399,1,65
"1904",43378,5,2,1,2,24,295,296,1,2,2,2,3,NA,1,NA,6,6,6,4,4,0.62,3,1,30,2,1,6,NA,2,2,2,1,2,2,2,2,2,2,14568.221986,14713.206986,1,65
"1905",43379,5,2,2,1,52,633,633,3,2,1,1,NA,NA,3,NA,1,2,2,14,14,5,NA,1,52,1,3,1,3,1,2,2,1,2,2,1,2,2,1,104240.230169,104430.826165,2,61
"1906",43380,5,2,2,2,9,119,119,4,NA,1,1,NA,4,NA,2,NA,5,5,14,14,3.94,NA,2,38,1,4,1,3,1,1,2,1,2,2,1,2,2,1,9802.245771,9777.860815,2,60
"1907",43381,5,2,1,1,28,338,339,3,2,1,1,NA,NA,4,NA,1,2,2,9,9,4.38,NA,2,25,1,4,1,4,1,2,2,1,2,2,1,2,2,1,89655.454447,89196.705435,1,59
"1908",43382,5,2,2,2,46,555,557,3,2,1,1,NA,NA,5,NA,1,4,4,12,12,NA,NA,1,49,1,3,1,5,1,2,2,1,2,2,1,2,2,1,107369.693862,108063.023578,2,61
"1909",43383,5,2,1,2,60,730,731,3,2,1,1,NA,NA,5,NA,1,2,2,15,15,5,NA,1,51,1,5,1,5,1,2,2,1,2,2,1,2,2,1,65649.874321,69470.038895,2,67
"1910",43384,5,2,2,1,70,849,851,4,2,1,1,NA,NA,1,NA,5,1,1,3,3,1.01,NA,1,70,1,1,5,NA,1,2,2,1,2,2,NA,NA,NA,1,11283.632501,11475.703691,2,67
"1911",43385,5,2,1,1,29,355,356,1,2,2,2,5,NA,1,NA,6,4,4,4,4,0.73,NA,2,30,2,2,6,NA,2,2,2,1,2,2,2,2,2,2,23140.661164,24709.816215,1,65
"1912",43386,5,2,1,1,80,NA,NA,4,1,1,1,NA,NA,5,NA,1,3,3,6,6,1.66,NA,1,80,1,5,1,2,1,2,2,1,2,2,1,2,2,1,10832.408722,10904.115991,2,71
"1913",43387,5,2,2,1,45,550,551,3,2,1,1,NA,NA,2,NA,6,3,3,14,14,4.26,NA,2,51,1,3,6,NA,1,2,2,1,2,2,1,2,2,1,118353.990038,120614.739209,2,61
"1914",43388,5,2,1,2,7,90,91,4,NA,1,1,NA,1,NA,1,NA,5,5,14,14,3.11,NA,1,48,5,5,1,5,1,1,2,1,2,2,NA,NA,NA,NA,9314.681064,9291.509019,2,67
"1915",43389,5,2,2,2,1,22,23,3,NA,1,1,NA,NA,NA,NA,NA,4,4,5,5,0.94,NA,2,21,1,4,1,2,1,1,2,1,2,2,NA,NA,NA,NA,12846.712058,14560.472652,2,59
"1916",43390,5,2,1,1,10,121,122,1,NA,1,1,NA,4,NA,1,NA,7,7,6,6,0.96,NA,2,32,2,2,1,1,2,1,2,1,2,2,2,2,2,2,8382.357685,8288.447522,1,65
"1917",43391,5,2,1,1,71,853,853,3,2,1,1,NA,NA,1,NA,1,3,3,9,9,3.41,NA,1,71,1,1,1,3,1,2,2,1,2,2,1,2,2,1,31471.062618,33576.278962,2,67
"1918",43392,5,2,1,2,5,63,63,4,NA,1,1,NA,NA,NA,NA,NA,7,7,3,2,0.23,NA,1,25,1,2,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,11988.592292,12216.785233,2,68
"1919",43393,5,2,1,1,21,262,263,5,2,1,1,NA,NA,2,NA,5,4,4,15,15,4.72,NA,1,50,1,2,1,2,1,2,2,1,2,2,1,2,2,1,24342.505253,24655.376656,2,68
"1920",43394,5,2,1,2,4,53,54,2,NA,1,1,NA,NA,NA,NA,NA,7,7,8,8,1.47,NA,1,37,4,3,1,3,1,1,2,1,2,2,NA,NA,NA,NA,14495.699099,15600.894304,2,72
"1921",43395,5,2,1,1,11,143,143,1,NA,1,1,NA,5,NA,1,NA,3,3,6,6,1.86,NA,2,32,1,4,77,NA,1,1,2,1,2,2,1,2,2,1,11758.661525,12095.882984,1,66
"1922",43396,5,1,NA,1,43,519,NA,3,2,1,1,NA,NA,2,NA,3,6,6,6,6,1.09,NA,2,49,1,3,3,NA,1,2,2,1,2,2,NA,NA,NA,NA,27110.24718,0,1,64
"1923",43397,5,2,2,2,11,140,141,2,NA,4,1,2,5,NA,1,NA,4,4,6,6,1.36,NA,2,61,4,4,1,3,2,1,2,2,2,2,1,2,2,1,6177.404767,6161.571879,1,62
"1924",43398,5,2,1,2,8,102,103,4,NA,1,1,NA,2,NA,1,NA,3,3,14,14,4.8,NA,1,50,1,5,1,5,1,1,2,1,2,2,1,2,2,1,11125.07979,12491.976929,1,68
"1925",43399,5,2,1,2,58,700,700,4,2,1,1,NA,NA,3,NA,3,2,2,77,77,NA,NA,2,58,1,3,3,NA,1,2,2,1,2,2,1,2,2,1,25246.168325,27368.68005,2,67
"1926",43400,5,1,NA,2,80,NA,NA,1,2,2,1,6,NA,1,NA,2,1,1,1,1,0.33,NA,2,80,2,1,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,9634.105961,0,1,71
"1927",43401,5,2,1,1,48,587,589,3,2,1,1,NA,NA,5,NA,1,4,4,15,15,5,NA,1,48,1,5,1,NA,1,2,2,1,2,2,1,2,2,1,91602.189885,94786.081194,1,73
"1928",43402,5,2,1,2,23,285,285,4,2,1,1,NA,NA,2,NA,5,4,4,2,2,0.33,2,2,19,1,3,NA,NA,1,2,2,1,2,2,NA,NA,NA,1,31500.176354,31326.398586,1,59
"1929",43403,5,2,1,2,8,100,100,2,NA,1,1,NA,2,NA,1,NA,4,4,6,6,1.25,NA,2,36,4,2,5,NA,2,1,2,2,2,2,1,2,2,1,8040.332358,8385.630564,2,73
"1930",43404,5,2,1,2,40,482,482,3,2,1,1,NA,NA,4,NA,3,6,6,8,8,1.76,2,2,67,1,5,3,NA,1,2,2,1,2,2,1,2,2,1,46122.026358,47594.734587,2,66
"1931",43405,5,2,1,1,17,208,209,4,2,1,1,NA,11,NA,1,NA,7,7,13,13,NA,NA,1,58,1,3,1,4,1,2,2,1,2,2,1,2,2,1,15897.399432,15971.791031,2,71
"1932",43406,5,2,1,2,38,462,463,1,2,1,1,NA,NA,2,NA,1,4,4,2,2,0.39,2,1,40,2,1,1,2,2,2,2,1,2,2,2,2,2,2,25990.375386,26403.704902,1,66
"1933",43407,5,2,1,2,55,671,671,1,2,2,1,8,NA,2,NA,3,1,1,5,5,2.15,NA,2,55,2,2,3,NA,2,2,2,1,2,2,2,2,2,2,16965.190773,16765.477336,1,66
